,country,country_name,type,level,2016,2017,2018,difference,average
145,NL,Netherlands,Nuclear,Level 1,3750,3277.664,3313.371,-436.629,3447.011667
146,NL,Netherlands,Hydro,Level 1,100.079,60.757,86,-14.079,82.27866667
147,NL,Netherlands,Pumped hydro power,Level 2,0,0,0,0,0
148,NL,Netherlands,Wind,Level 1,8170.462,10568.797,12279,4108.538,10339.41967
149,NL,Netherlands,Solar,Level 1,1601.811,2204.344,2423,821.189,2076.385
150,NL,Netherlands,Geothermal,Level 1,0,0,0,0,0
151,NL,Netherlands,Other,Level 1,138.101,121.865,0,-138.101,86.65533333
152,AT,Austria,Conventional thermal,Level 1,18065.01,20135.846,16350.754,-1714.256,18183.87
153,AT,Austria,Nuclear,Level 1,0,0,0,0,0
154,AT,Austria,Hydro,Level 1,40772.188,40098.554,37217.295,-3554.893,39362.679
155,AT,Austria,Pumped hydro power,Level 2,2883.861,3683.851,13397.582,10513.721,6655.098
156,AT,Austria,Wind,Level 1,4968.262,6239.497,5857.059,888.797,5688.272667
157,AT,Austria,Solar,Level 1,1040.698,1204.311,0,-1040.698,748.3363333
158,AT,Austria,Geothermal,Level 1,0.02,0.086,0,-0.02,0.035333333
159,AT,Austria,Other,Level 1,14.692,11.868,6162.686,6147.994,2063.082
160,PL,Poland,Conventional thermal,Level 1,136945,137068.099,138957.387,2012.387,137656.8287
161,PL,Poland,Nuclear,Level 1,0,0,0,0,0
162,PL,Poland,Hydro,Level 1,2591,2999.86,2353.336,-237.664,2648.065333
163,PL,Poland,Pumped hydro power,Level 2,474,448.193,402.36,-71.64,441.5176667
164,PL,Poland,Wind,Level 1,12279,14574.192,12487.345,208.345,13113.51233
165,PL,Poland,Solar,Level 1,124,165.463,298.432,174.432,195.965
166,PL,Poland,Geothermal,Level 1,0,0,0,0,0
167,PL,Poland,Other,Level 1,64,61.73,0,-64,41.91
168,PT,Portugal,Conventional thermal,Level 1,28702,36882.017,30887,2185,32157.00567
169,PT,Portugal,Nuclear,Level 1,0,0,0,0,0
170,PT,Portugal,Hydro,Level 1,16794.113,7489.938,13489,-3305.113,12591.017
171,PT,Portugal,Pumped hydro power,Level 2,1186,1699.948,3120,1934,2001.982667
172,PT,Portugal,Wind,Level 1,12343.336,12112.464,12530,186.664,12328.6
173,PT,Portugal,Solar,Level 1,870.603,991.546,974,103.397,945.383
174,PT,Portugal,Geothermal,Level 1,152,193.007,205,53,183.3356667
175,PT,Portugal,Other,Level 1,0,0,0,0,0
176,RO,Romania,Conventional thermal,Level 1,23304,24923.065,22611,-693,23612.68833
177,RO,Romania,Nuclear,Level 1,10366,10557.906,10443,77,10455.63533
178,RO,Romania,Hydro,Level 1,18239,14687.531,17653,-586,16859.84367
179,RO,Romania,Pumped hydro power,Level 2,507,357.788,0,-507,288.2626667
180,RO,Romania,Wind,Level 1,6527,7331.254,6261,-266,6706.418
181,RO,Romania,Solar,Level 1,1820,1855.674,1754,-66,1809.891333
182,RO,Romania,Geothermal,Level 1,0,0,0,0,0
183,RO,Romania,Other,Level 1,0,0,0,0,0
184,SI,Slovenia,Conventional thermal,Level 1,5121,5054.64,4703.068,-417.932,4959.569333
185,SI,Slovenia,Nuclear,Level 1,5431,5967.827,5489.906,58.906,5629.577667
186,SI,Slovenia,Hydro,Level 1,4721,4085.015,4831.147,110.147,4545.720667
187,SI,Slovenia,Pumped hydro power,Level 2,278,271.498,187.919,-90.081,245.8056667
188,SI,Slovenia,Wind,Level 1,6,5.716,6.02,0.02,5.912
189,SI,Slovenia,Solar,Level 1,267,283.678,254.113,-12.887,268.2636667
190,SI,Slovenia,Geothermal,Level 1,0,0,0,0,0
191,SI,Slovenia,Other,Level 1,0,0,0,0,0
192,SK,Slovakia,Conventional thermal,Level 1,6065,6417,5426,-639,5969.333333
193,SK,Slovakia,Nuclear,Level 1,13732,14016,13807,75,13851.66667
194,SK,Slovakia,Hydro,Level 1,4549,4620,3838,-711,4335.666667
195,SK,Slovakia,Pumped hydro power,Level 2,247,299,293,46,279.6666667
196,SK,Slovakia,Wind,Level 1,6,6,5,-1,5.666666667
197,SK,Slovakia,Solar,Level 1,533,506,586,53,541.6666667
198,SK,Slovakia,Geothermal,Level 1,0,0,0,0,0
199,SK,Slovakia,Other,Level 1,112,127,55,-57,98
200,FI,Finland,Conventional thermal,Level 1,24950,23681,26425,1475,25018.66667
201,FI,Finland,Nuclear,Level 1,22280,21574,21890,-390,21914.66667
202,FI,Finland,Hydro,Level 1,15634,14610,13158.674,-2475.326,14467.558
203,FI,Finland,Pumped hydro power,Level 2,0,0,0,0,0
204,FI,Finland,Wind,Level 1,3068,4795,5861,2793,4574.666667
205,FI,Finland,Solar,Level 1,19,43,89,70,50.33333333
206,FI,Finland,Geothermal,Level 1,0,0,0,0,0
207,FI,Finland,Other,Level 1,249,335,0,-249,194.6666667
208,SE,Sweden,Conventional thermal,Level 1,14621,15003,14869.986,248.986,14831.32867
209,SE,Sweden,Nuclear,Level 1,60524,63008,65801.155,5277.155,63111.05167
210,SE,Sweden,Hydro,Level 1,61764,64676,60977.602,-786.398,62472.534
